epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.30986,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,0,0,0
2,19.6416,2.2828,102.924,0.01656,0.00919,0.375,0.03455,0.01885,1.34625,46.6551,0.00767,8.32175e-06,8.32175e-06,8.32175e-06
3,29.3832,2.2828,102.924,0.01656,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,1.6627e-05,1.6627e-05,1.6627e-05
4,38.4745,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,2.49158e-05,2.49158e-05,2.49158e-05
5,47.748,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,3.31881e-05,3.31881e-05,3.31881e-05
6,57.2445,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,4.14438e-05,4.14438e-05,4.14438e-05
7,67.1299,1.99794,92.9189,0.01336,0.00935,0.375,0.0329,0.01711,1.43366,46.8401,0.00949,4.96831e-05,4.96831e-05,4.96831e-05
8,77.299,1.99794,92.9189,0.01336,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,5.79059e-05,5.79059e-05,5.79059e-05
9,86.8653,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,6.61122e-05,6.61122e-05,6.61122e-05
10,96.3143,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,7.4302e-05,7.4302e-05,7.4302e-05
11,105.715,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,8.24753e-05,8.24753e-05,8.24753e-05
12,114.9,1.53348,85.6758,0.00994,0.00513,0.25,0.01272,0.00528,1.72325,48.7859,0.01468,9.06321e-05,9.06321e-05,9.06321e-05
